Category title,Module title,Format,Estimated Time,Ideal Stage of Life,Brief Description,Detailed Description,Brief Step 1,Brief Step 2,Brief Step 3,Brief Step 4,Brief Step 5,Detailed Step 1,Detailed Step 2,Detailed Step 3,Detailed Step 4,Detailed Step 5
Preparing for Your New Dog,Choosing the right dog for your lifestyle,Reading (article),5–10 minutes,Before getting a dog,"This module helps you choose a dog whose energy, size, temperament, and needs match your lifestyle. A good match reduces future behaviour problems and stress for both you and the dog.","In this module, you will learn how to honestly assess your own lifestyle, schedule, energy level, and living situation, and compare that to what different types of dogs require. You will consider factors like breed tendencies, exercise needs, grooming demands, size, noise levels, and typical health issues. By understanding these elements before bringing a dog home, you greatly reduce the risk of frustration, rehoming, or behavioural struggles and lay the groundwork for a successful long-term partnership.",List your daily routine and activity level.,Read guidance on different dog types and their needs.,Compare your lifestyle to several dog profiles.,Narrow down realistic options that truly fit.,Decide which type of dog you can fairly meet the needs of.,"Start by writing down a realistic picture of your life: work hours, social life, physical abilities, financial capacity, and home environment (apartment vs rural property, shared spaces, landlord restrictions, etc.).","Learn how different breeds and types of dogs vary in exercise needs, mental stimulation, grooming, typical health issues, and vocal tendencies.",Compare these breed profiles directly against your lifestyle list – ask not “What dog do I want?” but “What dog would thrive with the life I can provide every day?”,"Rule out options that clearly do not fit (for example, very high-drive working breeds in very low-activity homes) and focus on breeds or mixes whose needs you can reliably meet.","Use this clarity to guide adoption or purchase decisions, knowing that a good match will make training easier, reduce problem behaviours, and improve the dog’s overall welfare and happiness."
Preparing for Your New Dog,Preparing your family,Reading (article),5–10 minutes,Before getting a dog,"This module gets your whole family on the same page before the dog arrives. Clear roles, rules, and expectations prevent confusion and help your dog adapt faster.","Here you will learn how to prepare everyone in the household for the arrival of a dog. The module explains why consistency is essential: if one person allows jumping or feeding from the table while others do not, the dog becomes confused and behaviours become harder to change. You will cover safety rules for children, how to interact calmly, and how to avoid overwhelming the dog. By setting family agreements early, you create a predictable environment that supports training and reduces stress for both the dog and the humans.",Hold a quick family meeting.,Discuss how to greet and handle the dog calmly.,"Agree on household rules (e.g., no feeding from the table).","Assign basic responsibilities (feeding, toileting, play).",Write the agreed rules somewhere visible.,Schedule a short family discussion before the dog comes home and explain that everyone’s behaviour will shape how the dog feels and acts.,"Talk through calm greeting rules (no shouting, grabbing, or crowding the dog) and why this helps the dog feel safe and prevents fear or overexcitement.","Agree on non-negotiable rules such as whether the dog is allowed on furniture, whether anyone can feed from the table, and how jumping or mouthing will be handled so the dog receives the same message from everyone.","Assign age-appropriate responsibilities to each family member (for example, one person handles feeding, one does short play or training sessions, another supervises toileting trips) so the dog builds positive associations with multiple people.","Write down the agreed rules and responsibilities, post them somewhere visible, and review them again right before the dog arrives so that the household feels prepared and united, making training more effective from day one."
Preparing for Your New Dog,Essential supplies checklist,Reading (checklist),5–10 minutes,Before getting a dog,This module lists the essential supplies you need before bringing your dog home. Being prepared reduces stress and sets you up for smooth training from day one.,"This module gives you a clear, structured checklist of items that support safety, comfort, training, and enrichment. It covers feeding equipment, bedding, crates or pens, leashes and harnesses, ID tags, cleaning supplies, grooming tools, and interactive toys. For each category, you will understand why it matters and how it will be used in your dog’s daily life and training. Having everything ready in advance allows you to focus on bonding and calm, predictable routines rather than last-minute panic shopping.",Read through the full supply checklist.,Highlight what you already own.,Purchase or gather missing items.,"Set up feeding, sleeping, and toileting areas with these supplies.",Double-check you have basic training and safety tools ready.,"Go through the checklist slowly and make sure you understand each category: food and water bowls, appropriate food, a crate or pen, dog bed, leash, harness, ID tag, poo bags, cleaning products, grooming tools, and a variety of safe chew and enrichment toys.",Mark off anything you already have at home and note what needs to be purchased so you can make one planned shopping trip rather than multiple rushed visits.,"Choose items that are appropriate for your dog’s size, age, and breed (for example, chew strength for toys or correct harness fit).","Set up your dog’s main areas using these supplies: decide where they will eat, sleep, rest, and toilet, and place items consistently so the dog can easily learn these locations.","Confirm that your training basics (treat pouch, treats, toys, long line, and similar tools) are ready before arrival so you can immediately start rewarding good behaviour and building positive habits from the first moment your dog is in your home."
Preparing for Your New Dog,Home setup and safe spaces,Reading (article + checklist),5–10 minutes,Before getting a dog,"This module helps you arrange your home to support safety, calmness, and good habits. Safe spaces and management tools make early training easier and prevent many problems.","In this module, you will learn how to structure your home environment to help your dog feel secure and to protect them from accidents. You will explore how to use baby gates, pens, crates, and closed doors to manage where the dog can go, and how to create quiet rest areas away from heavy foot traffic. You will also cover removing common hazards like exposed wires, toxic plants, or chewable valuables. A well-planned setup allows you to prevent rehearsals of unwanted behaviours (like counter-surfing or chewing furniture) and creates a calm, predictable space where your dog can relax and learn.","Identify where the dog will eat, sleep, and rest.",Decide which areas are off-limits and set up gates or barriers.,"Remove hazards such as cables, toxic plants, and small objects.","Create at least one quiet, safe resting zone.",Walk through your home from a “curious dog” perspective and adjust as needed.,"Walk through your home and select specific zones for resting, playing, training, and toileting so your dog does not have to guess what each space is for.","Use gates, exercise pens, or closed doors to limit access to risky or overwhelming areas (such as kitchens with hot appliances, cluttered rooms, or open staircases) during the early adjustment period.","Remove or secure common hazards including electrical cords, small objects that can be swallowed, unsecured rubbish bins, toxic plants, medications, and human food that could harm your dog.",Set up a dedicated quiet space (often with a crate or bed) where your dog can retreat to rest undisturbed; this teaches them that relaxation is safe and helps prevent clinginess and over-arousal.,"Finally, walk around at dog-eye level, imagining what a curious animal might chew, knock over, or investigate. Make any last adjustments so that your dog’s first experiences exploring your home are safe, calm, and easy to supervise, which in turn makes training much smoother."
Preparing for Your New Dog,The first 24 hours: what to expect,Reading (article),5–10 minutes,Before getting a dog (review again on arrival day),"This module prepares you for your dog’s first day in their new home. Knowing what to expect helps you stay calm, set the right tone, and avoid overwhelming your dog.","Here you will learn what your dog is likely experiencing physically and emotionally in their first 24 hours with you. The module covers common reactions such as stress, excitement, withdrawal, or over-tiredness and explains how your responses can either ease or increase their anxiety. You will be guided through simple routines for feeding, toileting, rest, and gentle interaction, as well as what to avoid (like crowds or constant handling). By following this plan, you help your dog feel safe, begin to understand the new routine, and build the first layer of trust that all future training will rely on.",Read this before your dog comes home.,"Plan a calm, simple first day.","Introduce toilet area, water, and resting place.",Keep interactions low-key and predictable.,Allow plenty of rest and avoid overcrowding or big events.,"Before bringing your dog home, read through this module so you know what a realistic first day looks like and do not create pressure to “do everything” immediately.","When you arrive, take your dog calmly to their toilet area first, then show them where their water, food, and resting spot are located; avoid long tours of the whole house at once.","Keep greetings soft and controlled; limit the number of people interacting at a time and avoid loud voices, hugging, or crowding, which can be intimidating or over-arousing.","Follow a simple structure for the day: short periods of gentle interaction, toilet breaks, and quiet rest in their safe space, rather than constant stimulation or long play sessions.","Recognize that your dog may pant, pace, whine, or seem shut down at times—these can be normal adjustment responses. By staying calm, sticking to a predictable routine, and giving them space when needed, you help them begin to feel secure, which will make all future behaviour and training work much easier."
The First Days at Home,"Establishing routines: feeding, potty, and sleep",Reading (article),5–10 minutes,Days 1–7,"This module teaches you how to create predictable routines for feeding, toileting, and sleep. Consistency helps puppies and new dogs feel secure and dramatically reduces accidents and stress.","This module explains why routine provides structure and emotional safety. Dogs thrive on predictability—regular mealtimes help with digestion and easier toilet training, scheduled naps prevent overtired behaviour, and consistent potty breaks reduce accidents. You will learn what a realistic first-week schedule looks like, how often puppies need to toilet, how to prevent overtiredness, and how structured routines reduce anxiety as your dog adapts to their new environment.",Choose feeding times.,Schedule potty breaks.,Create a sleep routine.,Follow the schedule daily.,Adjust gently as the dog settles.,"Link each meal, nap, and play session to a toilet break by taking your dog outside immediately afterwards, helping them learn where to go.",Create a basic sleep routine by providing several quiet nap periods throughout the day in a safe resting area so your dog does not become overtired and fractious.,"Follow this schedule as consistently as possible for the first week so your dog begins to predict what happens next, which reduces anxiety.","Observe how your dog responds and adjust timing gradually while keeping the underlying structure the same, using your schedule as a living document rather than a rigid rule.",
The First Days at Home,Surviving the first nights,Reading (article),5–10 minutes,Days 1–7,This module helps you understand what to expect during your dog’s first nights and how to support them through anxiety or restlessness.,"The first few nights can be challenging because your dog is adapting to a new environment away from their littermates or previous home. This module teaches you how to create comfort, reduce crying, and encourage healthy sleep habits. You will learn about sleep setups, calming strategies, whether to crate nearby, how to handle crying without reinforcing anxiety, and how to gradually transition the dog to independent sleeping over time.",Set up nighttime sleep area.,Keep the dog close by at first.,Offer comfort without overstimulating.,Take out for toilet breaks as needed.,Gradually increase independence over several nights.,"Choose a safe nighttime setup such as a crate or pen placed near your bed so your dog is not suddenly isolated, which can trigger panic.","Provide soft bedding, a safe chew, and gentle background noise (like a fan or white noise) to create a soothing sleep environment.","When your dog cries, calmly assess whether they may need a toilet break, and if so, take them out quietly without turning it into playtime.","Avoid over-comforting with constant talking or picking up, as this can accidentally teach that crying always brings attention; instead, aim for calm, brief reassurance.","As your dog becomes more confident over the first several nights, gradually move the crate or pen toward its long-term location and lengthen the periods between check-ins, building healthy independent sleep habits."
The First Days at Home,Introducing family members and other pets,Reading (article),5–10 minutes,Days 1–7,This module explains how to introduce your new dog to family members and resident pets safely and calmly.,"Improper introductions can create fear or tension that affects relationships long-term. This module teaches owners how to introduce dogs to adults, children, and other pets in a controlled way. You will learn how to read body language, manage excitement, prevent overwhelming greetings, and use barriers or leashes when appropriate. It also covers how to introduce dogs to cats, older dogs, or anxious animals using structured and gradual methods.",Keep greetings calm and short.,Introduce one person or pet at a time.,Use leashes or barriers when needed.,Watch body language closely.,End interactions while they are still positive.,"Start with short, one-on-one introductions instead of bringing many people to greet the dog at once.","Coach family members, especially children, to move slowly, avoid hugging or leaning over the dog, and let the dog approach them first.","For other pets, use baby gates, pens, or leashes to allow sniffing and observation without forced close contact, giving both animals room to retreat.","Watch each animal for signs of stress (stiffness, turning away, lip licking, growling, hiding) and respond by increasing distance and lowering intensity.","Keep early interactions brief and end them before anyone becomes overwhelmed, gradually increasing time together as all animals show relaxed, calm body language."
The First Days at Home,First vet visit and early health care,Reading (article),5–10 minutes,Days 1–7,This module prepares you for your dog’s first vet visit and covers early health needs like vaccines and parasite prevention.,"A dog’s first vet check is crucial for vaccinations, parasite control, and establishing a health baseline. This module explains what to bring, what the vet will check, how to reduce fear, and how to advocate for your puppy or rescue. You will also learn how to introduce cooperative care early so your dog has more positive experiences at the vet and is easier to handle throughout life.",Schedule the vet appointment.,Gather documents and treats.,Practice gentle handling at home.,Keep the clinic visit calm and positive.,Follow the vet’s recommended health plan.,"Book the first vet appointment within the first few days of bringing your dog home, especially if vaccinations or health checks are due.","Bring all available paperwork (adoption forms, previous medical records) and plenty of soft, high-value treats.","In the days before the visit, briefly practice touching your dog’s paws, ears, and mouth in exchange for treats to build comfort with handling.","At the clinic, use a calm voice, reward your dog frequently, and advocate for gentle, minimal restraint where possible.","Discuss vaccination schedules, parasite prevention, microchipping, nutrition, and any concerns with your vet, then follow the agreed plan and note follow-up dates in your calendar."
The First Days at Home,Common mistakes new owners make,Reading (article),5–10 minutes,Days 1–30,This module highlights the most common early mistakes owners make and how to avoid them.,"Many early problems come from misunderstandings rather than intentional errors. This module explains mistakes like overstimulation, giving too much freedom too soon, inconsistent rules, allowing unwanted behaviours to develop, reinforcing anxiety or whining, and relying on punishment. By becoming aware of these patterns, owners can prevent problems instead of fighting them later, making the entire training journey smoother and kinder for the dog.",Read through common mistakes.,Notice which ones you might be doing.,Adjust your routines and boundaries.,Improve consistency across the household.,Revisit this module regularly during the first month.,"Carefully read a list of typical early mistakes such as letting the dog roam unsupervised, picking them up every time they cry, or allowing jumping because they are “still a puppy.”",Reflect honestly on which of these might already be happening in your home and how they could affect your dog’s long-term behaviour.,"Make concrete changes to your routines: use more management (gates and pens), add structure to rest and play, and stop unintentionally rewarding behaviours you do not want.","Share these insights with all family members so everyone responds to the dog in the same way, making learning clear and predictable.","Revisit this module regularly in the first month as habits form, using it as a self-check tool to keep your training and handling on track."
