breed,origin,life_span_years,male_weight_adult_kg_min,male_weight_adult_kg_max,male_weight_6m_kg_min,male_weight_6m_kg_max,female_weight_adult_kg_min,female_weight_adult_kg_max,female_weight_6m_kg_min,female_weight_6m_kg_max,temperament,exercise_needs,trainability,coat,grooming,common_health_issues,recognized_by,also_known_as,fci_group,exercise_level,grooming_needs,enrichment_confidence,weights_confidence,health_notes_confidence,recommended_screenings,health_watchlist_tags,health_prevalence_notes
Affenpinscher,Germany,9–12,35.0,60.0,17.5,30.0,30.0,50.0,18.0,30.0,confident;protective;calm,High (60–120 min/day),Moderate–High,Short/medium double,Low–Moderate,hip dysplasia;bloat;heart issues,FCI,,9.0,Low,Varies,breed-specific,breed-specific estimate,,,,
Afghan Hound,Afghanistan,12–14,20.0,35.0,12.0,21.0,18.0,32.0,10.8,19.2,"dignified, independent, aloof",High (60–120 min/day),Moderate,Short or medium,Low to Moderate,hip dysplasia;ear infections;eye disorders,"AKC, FCI",,10.0,Moderate,High (long coat),breed-specific,breed-specific,,anesthesia plan tailored to sighthounds; owner education on bloat for giant/large sighthounds,Anesthesia; Hematologic; Dermatologic; Gastrointestinal,Sighthounds: unique anesthetic/analgesic considerations; thin skin/pressure sores; some have hyperfibrinolysis tendencies; deep‑chested types with bloat risk.
Airedale Terrier,England,11–14,7.0,12.0,4.6,7.9,6.0,11.0,4.5,8.2,"confident, friendly, alert",High (60–90 min/day),Moderate,Wire/broken or smooth,Moderate (hand-stripping for some),patellar luxation;skin issues;lens luxation,"AKC, FCI",,3.0,High,Moderate,breed-specific,breed-specific,,,,
Akita,Japan,10–13,20.0,35.0,12.0,21.0,16.0,30.0,9.6,18.0,"loyal, dignified, reserved",High (90–120 min/day),Moderate,Thick double,Moderate–High (seasonal blowouts),hip dysplasia; eye issues; zinc deficiency; gastric dilatation–volvulus (bloat) risk in deep‑chested breeds; sebaceous adenitis; autoimmune thyroiditis,"AKC, FCI",,5.0,Moderate,Moderate,breed-specific,breed-specific,pattern-based (well-established risks),owner education on bloat; consider prophylactic gastropexy where appropriate,Gastrointestinal,Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.
Alaskan Malamute,United States (Alaska),11–14,20.0,35.0,12.0,21.0,16.0,30.0,9.6,18.0,alert;independent;friendly,High (90–120 min/day),Moderate,Thick double,Moderate–High (seasonal blowouts),hip dysplasia; eye issues; zinc deficiency; hereditary eye disease (cataract/PRA); dermatologic issues (zinc‑responsive dermatosis in some lines); chondrodysplasia (dwarfism),"AKC, FCI",,5.0,High,Moderate,breed-specific,breed-specific estimate,pattern-based (well-established risks),OFA hips; polyneuropathy screening if indicated; eye exam (CAER); dietary zinc evaluation if dermatologic signs,Dermatologic; Ophthalmic,Hereditary eye disease and zinc‑responsive dermatosis reported in some lines.
American Bulldog,United States,10–13,9.0,25.0,5.9,16.5,8.0,23.0,5.3,15.2,dignified;loyal;independent,Moderate (45–60 min/day),Moderate,Varies (often double),Low–Moderate,hip dysplasia; BOAS (for brachy breeds); allergies; brachycephalic obstructive airway syndrome (BOAS); heat intolerance; ocular issues (corneal/entropion risk),FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,pattern-based (well-established risks),airway exam for BOAS risk; eye exam (CAER); airway exam before anesthesia; weight management counseling,Respiratory; Ophthalmic; Spinal; Dermatologic; Anesthesia,BOAS prevalence high; heat intolerance common; ocular ulcer/entropion risk; vertebral malformations more frequent in screw‑tail breeds.
American Cocker Spaniel,United States,11–14,16.0,25.0,10.6,16.5,14.0,23.0,9.2,15.2,gentle;obedient;enthusiastic,High (60–90 min/day),High,Medium feathered,Moderate–High,ear infections; hip dysplasia; eye issues; otitis externa (ear infections); hereditary eye disease (PRA/cataract risk),FCI,,8.0,High,Moderate,breed-specific,breed-specific estimate,pattern-based (well-established risks),hips/elbows (OFA/FCI); ear care plan; skin/coat checks,Otic; Dermatologic; Orthopedic,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.
American Eskimo Dog,United States,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
American Foxhound,United States,10–14,20.0,35.0,12.0,21.0,18.0,32.0,10.8,19.2,independent;gentle;prey-driven,High (60–120 min/day),Moderate (scent/sight driven),Short or medium,Low to Moderate,hip dysplasia;ear infections;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
American Hairless Terrier,United States,12–15,7.0,12.0,4.6,7.9,6.0,11.0,4.5,8.2,bold;feisty;energetic,High (60–90 min/day),Moderate,Wire/broken or smooth,Moderate (hand-stripping for some),patellar luxation;skin issues;lens luxation,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
American Leopard Hound,United States,10–14,20.0,35.0,12.0,21.0,18.0,32.0,10.8,19.2,independent;gentle;prey-driven,High (60–120 min/day),Moderate (scent/sight driven),Short or medium,Low to Moderate,hip dysplasia;ear infections;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
American Pit Bull Terrier,United States,12–15,7.0,12.0,4.6,7.9,6.0,11.0,4.5,8.2,bold;feisty;energetic,High (60–90 min/day),Moderate,Wire/broken or smooth,Moderate (hand-stripping for some),patellar luxation;skin issues;lens luxation,"FCI, UKC",,,Moderate,Moderate,breed-specific,breed-specific estimate,,BAER hearing test,,
American Staffordshire Terrier,United States,12–15,7.0,12.0,4.6,7.9,6.0,11.0,4.5,8.2,"people‑oriented, confident",High (60–90 min/day),Moderate,Wire/broken or smooth,Moderate (hand-stripping for some),patellar luxation;skin issues;lens luxation,"AKC, FCI",,3.0,High,Low,breed-specific,breed-specific,,,,
American Water Spaniel,United States,12–14,16.0,25.0,10.6,16.5,14.0,23.0,9.2,15.2,"alert, eager, friendly",High (60–90 min/day),Moderate,Medium feathered,Moderate–High,ear infections;hip dysplasia;eye issues,FCI,,,High,Moderate (curly coat),breed-specific,breed-specific,,hips/elbows (OFA/FCI); ear care plan; skin/coat checks,Otic; Dermatologic; Orthopedic,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.
Anatolian Shepherd Dog,Turkey,11–13,18.0,30.0,10.8,18.0,16.0,27.0,10.6,17.8,"calm, independent, protective","Very High (90–120+ min/day, mental work)",Moderate,Double; medium,Moderate,hip dysplasia;CEA;MDR1 sensitivity,FCI,,2.0,Moderate,Low,breed-specific,breed-specific,,hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),Orthopedic; Ophthalmic; Cardiac; Endocrine,Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.
Appenzeller Sennenhund,Switzerland,12–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,"lively, confident, watchful",Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,2.0,High,Low,breed-specific,breed-specific,,hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),Orthopedic; Ophthalmic; Cardiac; Endocrine,Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.
Australian Cattle Dog,Australia,12–15,18.0,30.0,10.8,18.0,16.0,27.0,10.6,17.8,intelligent;loyal;energetic,"Very High (90–120+ min/day, mental work)",Very High,Double; medium,Moderate,hip dysplasia;CEA;MDR1 sensitivity,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,BAER hearing test,,
Australian Kelpie,Australia,12–15,18.0,30.0,10.8,18.0,16.0,27.0,10.6,17.8,intelligent;loyal;energetic,"Very High (90–120+ min/day, mental work)",Very High,Double; medium,Moderate,hip dysplasia;CEA;MDR1 sensitivity,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Australian Shepherd,United States,12–15,18.0,30.0,10.8,18.0,16.0,27.0,10.6,17.8,"smart, work‑oriented","Very High (90–120+ min/day, mental work)",High,Double; medium,Moderate,hip dysplasia; CEA; MDR1 sensitivity; MDR1 (ABCB1) drug sensitivity (screening recommended); collie eye anomaly (CEA) in some lines; collie eye anomaly (CEA),"AKC, FCI",,1.0,High,Moderate,breed-specific,breed-specific,pattern-based (well-established risks),hips (OFA/FCI); CEA/eye exam (CAER); MDR1 DNA test; eye exam (CAER),Pharmacogenetics; Ophthalmic,MDR1 drug sensitivity occurs in herding breeds; collie eye anomaly (CEA) in some lines.
