Name,Coat,Common Health Issues,also_known_as,enrichment_confidence,exercise_level,exercise_needs,fci_group,female_weight_6m_kg_max,female_weight_6m_kg_min,female_weight_adult_kg_max,female_weight_adult_kg_min,grooming,grooming_needs,health_notes_confidence,health_prevalence_notes,health_watchlist_tags,life_span_years,male_weight_6m_kg_max,male_weight_6m_kg_min,male_weight_adult_kg_max,male_weight_adult_kg_min,origin,recognized_by,recommended_screenings,temperament,trainability,weights_confidence
Affenpinscher,Short/medium double,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Heart issues (https://www.notion.so/Heart-issues-ed76893a1091458b898840deabe0dfdd?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21)",,breed-specific,Low,High (60–120 min/day),9,30,18,50,30,Low–Moderate,Varies,,,,9–12,30,17.5,60,35,Germany,FCI,,confident;protective;calm,Moderate–High,breed-specific estimate
Afghan Hound,Short or medium,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,High (60–120 min/day),10,19.2,10.8,32,18,Low to Moderate,High (long coat),,Sighthounds: unique anesthetic/analgesic considerations; thin skin/pressure sores; some have hyperfibrinolysis tendencies; deep‑chested types with bloat risk.,Anesthesia; Hematologic; Dermatologic; Gastrointestinal,12–14,21,12,35,20,Afghanistan,"AKC, FCI",anesthesia plan tailored to sighthounds; owner education on bloat for giant/large sighthounds,"dignified, independent, aloof",Moderate,breed-specific
Airedale Terrier,Wire/broken or smooth,"Skin issues (https://www.notion.so/Skin-issues-0204ec666dfa43b595daffb229708b0e?pvs=21), Lens luxation (https://www.notion.so/Lens-luxation-44b02200e7a64255a340e67f7a03af57?pvs=21), Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21)",,breed-specific,High,High (60–90 min/day),3,8.2,4.5,11,6,Moderate (hand-stripping for some),Moderate,,,,11–14,7.9,4.6,12,7,England,"AKC, FCI",,"confident, friendly, alert",Moderate,breed-specific
Akita,Thick double,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Zinc deficiency (https://www.notion.so/Zinc-deficiency-7ba7ebcf17924e74a45ab470d6acf571?pvs=21), Sebaceous adenitis (https://www.notion.so/Sebaceous-adenitis-28ccf55ca0888183bdfdec1fa316afb1?pvs=21), autoimmune thyroiditis (https://www.notion.so/autoimmune-thyroiditis-28ccf55ca08880a2a5dae7848e9e6ae0?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,High (90–120 min/day),5,18,9.6,30,16,Moderate–High (seasonal blowouts),Moderate,pattern-based (well-established risks),Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.,Gastrointestinal,10–13,21,12,35,20,Japan,"AKC, FCI",owner education on bloat; consider prophylactic gastropexy where appropriate,"loyal, dignified, reserved",Moderate,breed-specific
Alaskan Malamute,Thick double,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Zinc deficiency (https://www.notion.so/Zinc-deficiency-7ba7ebcf17924e74a45ab470d6acf571?pvs=21), hereditary eye disease (PRA/cataract risk) (https://www.notion.so/hereditary-eye-disease-PRA-cataract-risk-144f437f22b6453fade463cc44265030?pvs=21), dermatologic issues (zinc-reponsive dermatosis in some lines) (https://www.notion.so/dermatologic-issues-zinc-reponsive-dermatosis-in-some-lines-28ccf55ca088804d8659d89fc1b69490?pvs=21), chondrodysplasia (dwarfism) (https://www.notion.so/chondrodysplasia-dwarfism-28ccf55ca0888063bc77c55167f29802?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,High (90–120 min/day),5,18,9.6,30,16,Moderate–High (seasonal blowouts),Moderate,pattern-based (well-established risks),Hereditary eye disease and zinc‑responsive dermatosis reported in some lines.,Dermatologic; Ophthalmic,11–14,21,12,35,20,United States (Alaska),"AKC, FCI",OFA hips; polyneuropathy screening if indicated; eye exam (CAER); dietary zinc evaluation if dermatologic signs,alert;independent;friendly,Moderate,breed-specific estimate
American Bulldog,Varies (often double),"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Brachycephalic obstructive airway syndrome (BOAS) (https://www.notion.so/Brachycephalic-obstructive-airway-syndrome-BOAS-28ccf55ca08881f59cadf79e1f34086a?pvs=21), Allergies (https://www.notion.so/Allergies-1774994115ff45c78fdfb6f6f86dd8b2?pvs=21), Heat intolerance (https://www.notion.so/Heat-intolerance-0bb86f455e634db1a4614f651c83e67e?pvs=21), Ocular issues (corneal/entropion risk) (https://www.notion.so/Ocular-issues-corneal-entropion-risk-306dd7fcd0624c4cbea60152969c40b4?pvs=21)",,breed-specific,Moderate,Moderate (45–60 min/day),0,15.2,5.3,23,8,Low–Moderate,Moderate,pattern-based (well-established risks),BOAS prevalence high; heat intolerance common; ocular ulcer/entropion risk; vertebral malformations more frequent in screw‑tail breeds.,Respiratory; Ophthalmic; Spinal; Dermatologic; Anesthesia,10–13,16.5,5.9,25,9,United States,FCI,airway exam for BOAS risk; eye exam (CAER); airway exam before anesthesia; weight management counseling,dignified;loyal;independent,Moderate,breed-specific estimate
American Cocker Spaniel,Medium feathered,"Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Otitis externa (https://www.notion.so/Otitis-externa-28ccf55ca08881939317d6cc708d6aea?pvs=21), hereditary eye disease (PRA/cataract risk) (https://www.notion.so/hereditary-eye-disease-PRA-cataract-risk-144f437f22b6453fade463cc44265030?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,High (60–90 min/day),8,15.2,9.2,23,14,Moderate–High,Moderate,pattern-based (well-established risks),Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.,Otic; Dermatologic; Orthopedic,11–14,16.5,10.6,25,16,United States,FCI,hips/elbows (OFA/FCI); ear care plan; skin/coat checks,gentle;obedient;enthusiastic,High,breed-specific estimate
American Eskimo Dog,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,Moderate,0,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,United States,FCI,,loyal;alert;trainable,Moderate,breed-specific estimate
American Foxhound,Short or medium,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,High (60–120 min/day),0,19.2,10.8,32,18,Low to Moderate,Moderate,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.,Otic; Dermatologic; Weight,10–14,21,12,35,20,United States,FCI,regular ear checks/cleaning; skin/coat checks,independent;gentle;prey-driven,Moderate (scent/sight driven),breed-specific estimate
American Hairless Terrier,Wire/broken or smooth,"Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21), Skin issues (https://www.notion.so/Skin-issues-0204ec666dfa43b595daffb229708b0e?pvs=21), Lens luxation (https://www.notion.so/Lens-luxation-44b02200e7a64255a340e67f7a03af57?pvs=21)",,breed-specific,Moderate,High (60–90 min/day),0,8.2,4.5,11,6,Moderate (hand-stripping for some),Moderate,,,,12–15,7.9,4.6,12,7,United States,FCI,,bold;feisty;energetic,Moderate,breed-specific estimate
