Name,Category,Difficulty,Estimated Time,Ideal Stage,Short Description,Long Description,Brief Instructions Step 1,Brief Instructions Step 2,Brief Instructions Step 3,Detailed Instructions Step 1,Detailed Instructions Step 2,Detailed Instructions Step 3,Detailed Instructions Step 4,Detailed Instructions Step 5,General Tips,Troubleshooting,Prerequisites,Progressions,Preparation Tips,Training Insights,Achievement Level 1,Achievement Level 2,Achievement Level 3,Ideal Stage Level 1,Ideal Stage Level 2,Ideal Stage Level 3,Pass Criteria,Fail Criteria,Mastery Criteria
Name Recognition (Respond to Name),Foundational / Obedience,Beginner,1–2 weeks,"Level 1 by Week 4, Level 2 by Week 6, Level 3 by Week 8",This skill teaches your dog to turn toward you when you say their name.,"Name recognition helps your dog understand that hearing their name means they should look at you immediately. It strengthens communication, increases engagement, and serves as the foundation for all future obedience cues.",Say your dog’s name once and reward when they look.,Practice in different rooms.,Add distractions gradually.,"Begin in a quiet space with minimal distractions. Say your dog’s name once, and the moment they turn toward you, mark the behaviour with a cheerful 'Yes!' and reward them.",Repeat this several times in short sessions so the dog begins forming a habit of checking in.,"Once your dog responds consistently, begin practicing in new environments such as different rooms, the hallway, backyard, and eventually outdoors.","Increase difficulty by introducing mild distractions, but always set the dog up to succeed.",,"Always say your dog’s name in a friendly tone. Avoid using their name for scolding or corrections, because this can make them hesitate. Keep your training sessions short so your dog stays engaged and eager to learn.","If your dog ignores their name, reduce distractions and use a higher-value reward. If they respond too slowly, try using a more cheerful tone and reward faster responses more generously. If they respond indoors but not outside, go back a step and practice in a quieter outdoor area.",None,"Look, Recall, Heel, Leave It, Stay","Prepare a handful of soft, high-value treats and begin in the quietest environment available.",Dogs often do not generalize learning to new environments easily. This skill becomes reliable only after you intentionally practice it in multiple situations.,Responds indoors with minimal distractions.,Responds in moderately distracting environments like backyard or driveway.,Responds instantly in busy or stimulating environments.,Week 4,Week 6,Week 8,Dog turns toward you within one second in quiet settings.,Dog ignores name three times in a row.,Dog responds immediately in any environment regardless of distractions.
Sit,Foundational / Obedience,Beginner,1–2 weeks,"Level 1 by Week 6, Level 2 by Week 8, Level 3 by Week 10",Sit teaches your dog to place their bottom on the ground on cue.,"Sit is one of the most important foundational behaviours for building calmness and impulse control. It helps teach your dog how to pause, listen, and remain still, which supports polite greetings, leash manners, stays, and doorway control.",Lure your dog upward into a sit.,Add the verbal cue.,Build duration gradually.,Begin in a low-distraction environment. Hold a treat to your dog’s nose and slowly lift your hand upward so their bottom naturally moves into a sitting position. Mark and reward immediately once the dog sits.,"Once they follow the hand movement consistently, say 'Sit' right before you lure them.","Begin fading the lure by using the same hand motion without a treat in your hand, rewarding from your other hand.",Build duration by asking your dog to sit and holding the position for one or two seconds before marking and rewarding. Gradually increase duration as your dog becomes more consistent.,"Practice in new environments, and eventually add distractions like movement or sounds.","Avoid repeating the cue, as this teaches your dog that the first cue is optional. Reward calm, still sitting rather than excited bouncing. Keep the training sessions brief and fun to maintain motivation.","If your dog keeps popping up, decrease the duration and reward more quickly. If your dog does not sit in stimulating environments, return to an easier setting and increase reward value. If your dog lies down instead of sitting, raise your lure a little higher to encourage the correct movement.",Name Recognition,"Stay, Down, Heel, Sit-Stay, Greeting Manners","Prepare tiny soft treats, a quiet room to begin training, and a treat pouch for easy access.","Sit becomes a dog’s default behaviour when they are unsure what to do, which helps reduce unwanted behaviours such as jumping or pulling.",Sits indoors with minimal distraction.,Sits on different surfaces and holds position for 5–10 seconds.,Sits immediately in busy environments and holds for 15 seconds or more.,Week 6,Week 8,Week 10,Dog sits on first cue.,Dog requires multiple cues or breaks position.,Dog sits instantly in any environment and maintains position until released.
Zen Sit (Impulse-Control Sit),Foundational / Obedience / Impulse Control,Beginner–Intermediate,2–3 weeks,"Level 1 by Week 8, Level 2 by Week 10, Level 3 by Week 12","This teaches your dog to sit calmly while resisting temptation, such as food or toys.","Zen Sit strengthens impulse control by teaching the dog that remaining calm and sitting patiently leads to access to rewards. This skill is useful for greeting manners, doorway control, feeding routines, and helping excitable dogs regulate their emotions.",Ask for a sit.,Hold treat out and wait.,Reward when the dog stays still.,"Begin by asking your dog to sit. Hold a treat in a closed hand near their face. If they stay seated and avoid lunging or pawing, mark and reward.",Slowly increase difficulty by opening your hand slightly or lowering the treat toward the floor. Reward only when your dog maintains the sit.,Add movement such as stepping backward or sideways to test stability. Gradually introduce more tempting items like toys or food bowls.,,,Be patient and reward calm behaviour. Work in very small increments and avoid making the challenge too difficult too quickly.,"If your dog keeps breaking the sit, reduce the difficulty and reward more frequently. If they become overly frustrated, reset with an easy win. If they stare obsessively at the treat, hold it closer to your chest to reduce fixation.",Sit,"Stay, Leave It, Greeting Manners, Heel","Start with medium-value treats, a quiet area, and have your dog warmed up with a few basic sits.",Zen Sit forms the basis for all impulse-control exercises and greatly improves self-regulation in excitable dogs.,Can hold sit with treat in closed hand.,Can resist open-hand treat or mild movement.,Maintains sit around high-value distractions or toys.,Week 8,Week 10,Week 12,Dog waits calmly.,Dog repeatedly breaks position.,Dog ignores temptations in all environments and maintains sit until released.
Down (Lie Down),Foundational / Obedience,Beginner,1–2 weeks,"Level 1 by Week 8, Level 2 by Week 10, Level 3 by Week 12",Teaches the dog to lie down on cue.,"Down helps your dog relax and encourages calmness. It is extremely helpful during overstimulating situations, restaurant outings, vet visits, grooming sessions, and stay training. A reliable down increases safety and control.",Lure dog from sit to floor.,Add cue.,Build duration.,"Begin in a quiet environment. Start your dog in a sit. Hold a treat at their nose and slowly move your hand straight down between their paws. As their elbows touch the floor, mark and reward.","Once they follow the lure consistently, add the cue 'Down' before moving your hand.",Begin fading the lure by using an empty hand signal and rewarding afterward.,Build duration gradually by asking your dog to hold the down for a few seconds before rewarding.,,"Use small movements when luring and reward quickly when the dog gets into position. Keep the training relaxed, as this cue is tied to calm behaviour.","If your dog pops up immediately, lower your reward timing. If they crawl forward instead of lying down, lure closer to their chest. If they refuse to lie down, try training on a softer surface.",Sit,"Down-Stay, Settle, Place, Calm Public Behaviour","Use a soft mat or carpet at first, and prepare small treats.",Down teaches emotional regulation and is an essential foundation for calmness training.,Downs indoors with no distractions.,Downs in new rooms or yard.,Downs in public with significant distractions.,Week 8,Week 10,Week 12,Dog lies down on first cue.,Dog resists or pops back up.,Dog performs down anywhere and stays down until released.
Zen Down (Impulse-Control Down),Foundational / Obedience / Impulse Control,Intermediate,2–4 weeks,"Level 1 by Week 10, Level 2 by Week 12, Level 3 by Week 14","Teaches the dog to lie down and resist distractions such as food, toys, or movement.","Zen Down builds on the Down cue by teaching your dog to remain relaxed even when tempting or distracting stimuli are present. It supports long-duration stays, calm field trips, and polite behaviour at home.",Ask for down.,Introduce distraction.,Reward when dog remains down.,"Ask your dog to lie down. Hold a treat in your hand and slowly move it around—if the dog stays down, mark and reward.",Increase difficulty by placing the treat on the floor and covering it with your hand. Reward only when the dog remains still.,"Introduce movement, such as stepping backward or to the side, while expecting the dog to hold their down.",,,Stay patient and increase difficulty gradually. Keep sessions short to prevent frustration. Reward calm breathing and relaxed posture.,"If your dog keeps breaking the down, reduce the distraction level. If they become overly excited, use lower-value treats. If they whine or scoot forward, practice easier reps.",Down,"Down-Stay, Settle on Mat, Public Calmness",Use a non-slippery surface and medium-value treats. Start in a low-distraction room.,"Zen Down greatly strengthens patience and emotional control, making it ideal for dogs who struggle to settle.",Holds down against mild treat distraction.,Holds down around movement.,"Holds down around toys, food bowls, or outdoor activity.",Week 10,Week 12,Week 14,Dog remains lying still.,Dog repeatedly breaks down.,Dog stays down calmly even during high-level distractions.
Wait,Foundational / Safety,Beginner–Intermediate,1–2 weeks,"Level 1 by Week 10, Level 2 by Week 12, Level 3 by Week 14",This teaches the dog to pause and remain still until released.,"Wait improves safety and self-control. It teaches your dog to pause before exiting doors, crossing roads, jumping from the car, or approaching food. Unlike 'Stay,' Wait is typically a short pause instead of a long-duration hold.",Ask for sit.,Say 'Wait.',Reward pausing.,Begin by asking your dog to sit. Hold your hand out like a stop sign and say 'Wait.',"Take one small step backward. If the dog remains still, return and reward.","Gradually increase distance or duration, but keep early reps very short.",Use Wait during daily routines such as opening doors or feeding time.,,"Keep your movements small at first. Always return to your dog to reward rather than calling them toward you, which prevents confusion with recall.","If your dog rushes forward, reduce distance and duration. If they become overly excited, wait for calmness before rewarding. If they creep forward, reset position and try again more slowly.",Sit,"Stay, Doorway Control, Calm Greetings",Have treats ready and practice near a door or food bowl.,Wait is one of the most useful real-world cues and builds excellent manners.,Pauses briefly indoors.,Pauses around moderate distractions.,"Reliable at doors, cars, and in outdoor environments.",Week 10,Week 12,Week 14,Dog pauses without moving.,Dog surges ahead.,Dog waits consistently in all real-life situations until released.
Stay,Foundational / Obedience / Impulse Control,Intermediate,2–4 weeks,"Level 1 by Week 12, Level 2 by Week 14, Level 3 by Week 16",Teaches the dog to remain in a fixed position until released.,"Stay teaches your dog self-control, focus, and patience. It prevents rushing out of doors, jumping on people, wandering away, or breaking positions during training. A reliable Stay improves safety and teaches emotional regulation.",Ask for sit or down.,Say 'Stay' and wait briefly.,Return and reward.,Begin by asking your dog to sit or lie down. Hold your hand out with a flat palm and say 'Stay' in a calm voice.,"Take one small step backward. If your dog remains still, return to them and reward.","Gradually add distance, duration, and distractions one at a time.",Always return to your dog to reward them before releasing them. This builds strong position holding.,,Work slowly and increase difficulty gradually. Always return to your dog before releasing to avoid creating a habit of breaking position.,"If your dog keeps breaking the stay, reduce distance or duration. If they get confused, reset with an easy success. If they become restless, shorten sessions.","Sit, Down","Down-Stay, Long-Duration Calmness, Place Training","Choose a quiet area, prepare treats, and mark out clear distance goals.",Stay is one of the most valuable safety cues and requires patience and consistent practice.,Holds position for 3–5 seconds with minimal distraction.,Holds for 10–20 seconds with mild distractions.,Holds for 30+ seconds in real-world environments.,Week 12,Week 14,Week 16,Dog holds still.,Dog breaks position.,Dog holds position in any environment until released.
Wrong (Non-Reward Marker),Foundational / Communication,Beginner,1 week,"Level 1 by Week 6, Level 2 by Week 8, Level 3 by Week 10",Teaches the dog that their choice did not earn a reward but is not a punishment.,"A non-reward marker helps clarify communication. It gently tells the dog that the behaviour they offered is not the correct one, without using fear or intimidation. This reduces frustration and speeds up learning.",Say 'Wrong' calmly.,Remove reward.,Reset the cue.,"Begin by asking for an easy behaviour such as Sit. If the dog does something different, calmly say 'Wrong' in a neutral tone.",Remove the treat from view and pause for a moment.,Reset and ask again. Reward them when they offer the correct behaviour.,,,Use a neutral tone—never frustrated. Keep the dog’s confidence high by rewarding the correct attempt immediately.,"If the dog seems discouraged, reduce difficulty. If they become confused, simplify the task. If they ignore the marker, practice with easier exercises.",Name Recognition,"Precision Commands, Shaping Work, Advanced Obedience",Have treats ready and choose an easy starting behaviour.,A non-reward marker bridges the communication gap and prevents dogs from feeling punished during mistakes.,Dog pauses when they hear the marker.,Dog resets quickly.,Dog adjusts behaviour without frustration.,Week 6,Week 8,Week 10,Dog understands marker.,Dog shuts down.,Dog uses marker feedback constructively.
No (Corrective Cue Used Responsibly),Foundational / Communication / Safety,Intermediate,2–3 weeks to condition properly,"Level 1 by Week 10, Level 2 by Week 12, Level 3 by Week 14","Teaches the dog to stop an unsafe or unwanted behaviour, used with care and clear structure.","‘No’ is a cue that should only be introduced after positive training foundations are established. When used correctly, it communicates that a behaviour must stop immediately for safety or household rules. It should never be paired with yelling or intimidation.",Teach with mild behaviours.,Say 'No' once.,Redirect and reward the correct behaviour.,"Begin in a calm environment. When your dog engages in a mild unwanted behaviour such as pawing for treats, say 'No' once in a firm but neutral voice.","Pause for one second, then guide your dog toward the correct behaviour, such as sitting.",Mark and reward the correct choice. This teaches your dog that ‘No’ means stop and choose a better option.,,,Use this cue sparingly. Always follow ‘No’ with guidance toward the correct behaviour. Never shout or use it emotionally.,"If your dog becomes scared, your tone is too harsh. If they ignore it, the behaviour is too rewarding or environment too stimulating. If they shut down, pause training and rebuild confidence.","Name Recognition, Sit, Wrong Marker","Leave It, Off, Boundary Training, Safety Commands",Choose simple situations to introduce the cue and avoid using it in high-emotion moments.,"‘No’ works best as part of a calm, consistent communication system—not a punishment.",Responds to ‘No’ in calm environments.,Responds with moderate distractions.,Responds instantly to prevent unsafe behaviours.,Week 10,Week 12,Week 14,Dog stops behaviour.,Dog ignores cue.,Dog stops and offers an alternative behaviour independently.
Leave It,Foundational / Safety / Impulse Control,Intermediate,2–4 weeks,"Level 1 by Week 10, Level 2 by Week 12, Level 3 by Week 14",Teaches the dog to move away from something and ignore it on cue.,"Leave It is one of the most important safety cues. It prevents dogs from picking up dangerous objects, chasing animals, grabbing food, or fixating on distractions. This skill teaches strong impulse control and builds trust.",Closed-hand treat.,Reward for backing off.,Add harder distractions.,"Hold a treat in your closed fist and present it to your dog. When they stop sniffing or pawing and look away, mark and reward with a different treat from your other hand.",Progress to showing a treat in an open hand and rewarding when your dog chooses to ignore it.,"Practice leaving items on the floor, toys, and eventually real-life distractions such as food or wildlife.",,,Always reward your dog for choosing to disengage. Work slowly so your dog builds trust in the cue. Start with low-value items and move up.,"If your dog grabs the item, lower difficulty. If they become frustrated, shorten sessions. If they stare intensely, lift the item higher.","Sit, Zen Sit","Off, Heel, Recall, Public Manners",Use low-value treats at first and have higher-value rewards available in your other hand.,Leave It builds self-control and prevents countless dangerous situations.,Ignores low-value treat in closed hand.,Ignores open-hand treat or item on floor.,Leaves tempting real-world distractions.,Week 10,Week 12,Week 14,Dog disengages immediately.,Dog fixates or grabs item.,Dog leaves anything on cue in any environment.
